Jméno|Disciplína|Stát|Pohlaví|Datum narození|Vìk|Výška|Váha|Místo narození|Místo pobytu|Pøezdívka|Trenér|Ruka|Zranìní|Pøedchozí|Povolání|Klub|Pozice|Vzor|Jazyky|Hobbies|Ambice|Dùvody|Motto
Meinhard ERLACHER|Snowboard|Italy|Male|15 July 1982|31|1.80|83|Italy, BRUNICO|Italy, Gran fré 47,33030 San Viglio|Il Gudice |Luca Pozzolini [national]; Stefano Pozzolini [national] |||Vancouver 2010, Torino 2006|Athlete|GS Fiamme Oro, Italy|||English, German, Italian||||
Kalev ERMITS|Biathlon|Estonia|Male|19 September 1992|21|1.81|74|Estonia, TARTU|-||Rein Pedaja [club], EST; Ilkka Luttunen [college]; Maris Cakars [national], LAT ||||||||Estonian||||
Gianina ERNST|Ski Jumping|Germany|Female|31 December 1998|15|1.53|44|Switzerland, SAMEDAN|-||Joachim Ernst [personal], GER; Andreas Bauer [national], GER; Peter Leiner [national], GER ||||Athlete, Student|SC Oberstdorf, Germany||||Ski jumping. |||
Kevin ESTEVE|Alpine Skiing|Andorra|Male|27 December 1989|24|1.77|80|Andorra, ESCALDES ENGORDANY|-||||He injured his shoulder and back in the 2012/13 season, which kept him out of action for two months. |Vancouver 2010|||||||||
Katharine EUSTACE|Skeleton|New Zealand|Female|16 April 1975|38|1.75|68|Great Britain, LONDON|-||Jon Turnbull [personal] ||||Physical Therapist||||||||
Aja EVANS|Bobsleigh|United States|Female|12 May 1988|25|1.78|77|United States, CHICAGO|-|Storm [the self-titled nickname for the women's US bobsleigh team at the 2014 Olympic Winter Games in Sochi was the Wolfpack. As part of the 'Wolfpack', she was nicknamed 'Storm']. |Todd Hays [national] ||||Athlete||Brakeperson ||English|Charity work. |||
Bettina EVERS|Ice Hockey|Germany|Female|17 August 1981|32|1.67|71|Germany, HANNOVER|-||||||||||||||
Nkeiruka EZEKH|Curling|Russian Fed.|Female|17 October 1983|30|1.78|-|-|Russian Fed., MOSCOW|Kira |Olga Andrianova, RUS; Thomas Lips [national], SUI |||Vancouver 2010, Torino 2006, Salt Lake City 2002|||Alternate ||English, Russian|Doing crosswords, solving mathematical problems, dancing. |||
Christoffer FAARUP|Alpine Skiing|Denmark|Male|28 December 1992|21|1.90|83|Denmark, AARHUS|-||Kjuss Rennskole ||||Athlete, Student||||Danish, English, Norwegian|He likes to go biking, skiing, and is interested in computers. |||
Marco FABBRI|Figure Skating|Italy|Male|2 February 1988|26|1.64|-|Italy, MILANO|-||Barbara Fusar-Poli, ITA; Igor Shpilband, RUS ||||Student|Agora Skating Team , Milan, ITA|||English, French, Italian, Spanish|Sports, music, friends. |||
Vesna FABJAN|Cross-Country|Slovenia|Female|13 March 1985|28|1.70|62|-|-|Fabia |Marka Gracerja [national] |||Vancouver 2010, Torino 2006|Athlete||||English, Slovene|Meeting friends, shopping, skiing, music, inline skating, hiking. |||
Robert FAGAN|Snowboard|Canada|Male|29 July 1976|37|1.85|88|Canada, CRANBROOK|-|VG |Marcel Mathieu [national] ||A knee injury in 2006 ended his hopes of competing at the 2006 Olympic Winter Games in Turin. |Vancouver 2010|Athlete||Goofy ||English|Mountain biking, surfing, snowboarding, rock climbing, golf, running, weight training, mountaineering, skateboarding, travel, photography. |||
Nicholas FAIRALL|Ski Jumping|United States|Male|6 July 1989|24|1.80|68|United States, New London|-||Clint Jones [national] ||In September 2011 he suffered damage to his left shoulder ligaments after a fall at an event in Klingenthal, Germany. Despite the injury he was able to resume competitive jumping two weeks later in Lake Placid, NY, United States. ||Athlete|Andover Outing Club, United States|||English|Military arnis [mixed martial arts], aviation, golf, shooting, lacrosse, football, water skiing, volleyball, meeting up with friends, supporting American football team New England Patriots, US basketball team Boston Celtics and US baseball team Boston Red Sox. |||
John FAIRBAIRN|Skeleton|Canada|Male|28 December 1983|30|1.77|75|Canada, LONDON|-||Duff Gibson [national] ||||Athlete, Engineer||||English||||
Mathieu FAIVRE|Alpine Skiing|France|Male|18 January 1992|22|1.75|78|France, NICE|-||David Chastan ||||Athlete||||French||||
Anouk FAIVRE PICON|Cross-Country|France|Female|18 February 1986|27|1.67|58|-|-||Annael Huard ||Health problems forced her to withdraw after the fifth stage of the 2010/11 Tour de Ski. ||Army, Athlete||||French||||
Virginie FAIVRE|Freestyle Skiing|Switzerland|Female|6 September 1982|31|1.55|48|Switzerland, MONTFAUCON JU|-||Jonathan Bruchez [strength and conditioning] ||||||||English, French|Mountain biking, tennis, photography, literature, nature, spending time with friends and family. |||
Jakov FAK|Biathlon|Slovenia|Male|1 August 1987|26|1.84|74|Croatia, RIJEKA|-||Uros Velepec [national], Tomas Kos [personal] ||He injured his shoulder and left arm in a training accident in October 2013. |Vancouver 2010|Athlete||||Croatian, English|Water skiing, snorkelling, cycling. |||
Matej FALAT|Alpine Skiing|Slovakia|Male|8 February 1993|20|1.85|83|Slovakia, BOJNICE|-||Andrej Gyure [personal], SVK; Juraj Gantner [national], SVK ||||Athlete, Student||||English, German, Slovak|Cycling, table tennis. |||
Hanna FALK|Cross-Country|Sweden|Female|5 July 1989|24|1.67|65|-|-||||||||||||||
Maiken Caspersen FALLA|Cross-Country|Norway|Female|13 August 1990|23|-|-|-|-||Egil Kristiansen [national] ||In December 2012 she missed the World Cup event in Kuusamo, Finland, due to a cold. |Vancouver 2010|Athlete||||English, Norwegian|Spending time with friends, shopping. |||
Kexin FAN|Short Track|China|Female|19 September 1993|20|1.70|55|China, HEILONGJIANG|-|Shadow of Wang Meng |Li Yan [national] ||In 2008 she struggled from iron deficiency [anaemia]. ||Athlete||||Mandarin||||
Thomas FANARA|Alpine Skiing|France|Male|24 April 1981|32|1.70|69|France, ANNECY|-|Tom |David Chastan ||He suffered a broken left thumb during the 2012/13 season. |Torino 2006|||||||||
Elena FANCHINI|Alpine Skiing|Italy|Female|30 April 1985|28|1.64|69|Italy, LOVERE|-|Elli |Raimund Plancker ||In October 2008, she ruptured ligaments in her left knee while training in Hintertux, Austria, forcing her to miss the rest of the season. |Vancouver 2010, Torino 2006|Athlete||||Italian|Travelling. |||
Nadia FANCHINI|Alpine Skiing|Italy|Female|25 June 1986|27|1.65|65|Italy, LOVERE|-||Costazza Stefano [national] ||In January 2011 she suffered a further knee injury after falling while acting as a trailblazer in Cortina d'Ampezzo, Italy. |Torino 2006|||||Italian||||
Anders FANNEMEL|Ski Jumping|Norway|Male|13 May 1991|22|1.67|-|Norway, FORDE|-|Hornindal-hopper |Alexander Stockl ||||Athlete|Hornindal IL, Norway|||English, Norwegian|Skydiving. |||
Camilla Hallas FARESTVEIT|Speed Skating|Norway|Female|5 December 1989|24|-|-|Norway, BERGEN|-||Jarle Pedersen [national] ||In 2007 she suffered an injury to her calf, which would affect her performances for the next five years. She had an operation in 2008, and in 2011 worked with Norwegian former speed skater Edel Therese to overcome the problem. ||Personal Trainer, Student||||Norwegian|Coaching, watching movies. |||
Norbert FARKAS|Alpine Skiing|Hungary|Male|7 April 1992|21|1.78|70|Hungary, BUDAPEST|-|Norbi |Armin Brunner [personal] ||In January 2012 he suffered a broken hand after falling in his debut World Cup event [slalom] in Schladming, Austria. ||Athlete||||English, German, Hungarian|Cooking, travelling, cycling. |||
Kaitlyn FARRINGTON|Snowboard|United States|Female|18 December 1989|24|1.63|57|United States, HAILEY|-|TWP, Pooch |Ben Boyd [club]; Mike Jankowski [national] ||In January 2013 she fell and broke her thumb during a training run in Quebec, Canada. It required surgery but she was back riding the following day wearing a cast. The pins were removed in March 2013. ||Athlete|Ski and Snowboard Club Vail, United States|Goofy ||English|Running, music. |||
John FARROW|Skeleton|Australia|Male|18 February 1982|31|1.88|85|Australia, NORTH SYDNEY|-|The Arrow |Eric Bernotas; Ron Bendall [sprints]; John Marsden [strength] ||He ruptured the anterior cruciate ligament [ACL], lateral collateral ligament [LCL] and damaged the hamstring attached to his left knee in training at the 2011 World Cup event in Lake Placid, NY, United States. He also broke his tibia and suffered peroneal nerve damage in the incident. He underwent several operations and returned to competition in 2012. He continues to experience a condition called foot drop and uses a foot brace. ||Athlete||||English|Downhill mountain biking, motorbike riding, Brazilian jiu jitsu. |||
Olga FATKULINA|Speed Skating|Russian Fed.|Female|23 January 1990|24|1.72|62|-|Russian Fed., CHELYABINSK||Svetlana Zhuravleva, from 1999; Pavel Abratkevich; Konstantin Poltavets [national] |||Vancouver 2010|Athlete, Student||||Russian|Going to the cinema, being at home and doing things about the house, cooking, shopping. |||
Thibaut FAUCONNET|Short Track|France|Male|23 April 1985|28|1.73|70|France, DIJON|-||Cho Hangmin Cho |||Vancouver 2010|Student||||English, French, Spanish|Comics, cinema, multimedia. |||
Justin FAULK|Ice Hockey|United States|Male|20 March 1992|21|1.80|98|United States, SOUTH SAINT PAUL|-||||||||||||||
Guillermo FAYED|Alpine Skiing|France|Male|28 November 1985|28|1.83|93|France, CHAMONIX|-|Gus |||In February 2013 he suffered a back injury that ended his season early. |Vancouver 2010|Athlete, Serves in the Army||||French||||
Joel FEARON|Bobsleigh|Great Britain|Male|11 October 1988|25|1.89|93|Great Britain, LEICESTER|-||Peter Gunn [national], GBR; Michael Khmel, RUS ||||Athlete||Brakeperson ||English||||
Lyudmila FEDOTOVA|Alpine Skiing|Kazakhstan|Female|23 April 1986|27|1.65|58|Kazakhstan|-|||||Vancouver 2010|||||Russian, English||||
Denise FEIERABEND|Alpine Skiing|Switzerland|Female|15 April 1989|24|1.70|69|Switzerland, ENGELBERG OW|-||Alois Prenn [national], ITA; Werner Zurbuch [national]; Andreas Durtschi [national, fitness] ||In March 2012 she tore the cruciate ligament in her knee. ||Athlete||||German|Cycling, inline skating, hiking, travelling. |||
Susanne FELLNER|Ice Hockey|Germany|Female|26 February 1985|28|1.59|57|Germany, RAVENSBURG|-||||||||||||||
Jazmine FENLATOR|Bobsleigh|United States|Female|29 August 1985|28|1.75|78|United States, PEQUANNOCK|-|Jaz, JWoww [the self-titled nickname for the women's US bobsleigh team at the 2014 Olympic Winter Games in Sochi was the Wolfpack. As part of the 'Wolfpack', she was nicknamed 'JWoww']. |Todd Hays [national] ||||Athlete, Student||Pilot |||Graphic art, photography, dancing. |||
John FENNELL|Luge|Canada|Male|28 May 1995|18|1.91|92|United States, WHEAT RIDGE|-|JFen, Fenski, Fancy |Wolfgang Staudinger, GER; Bernhard Glass, GER ||He broke his ankle in January 2011. ||Athlete, Student||||English|Skiing, basketball, soccer. |||
Anna FENNINGER|Alpine Skiing|Austria|Female|18 June 1989|24|1.66|60|Austria, HALLEIN|-||Jurgen Kriechbaum [national] from 2013 ||She dislocated her right shoulder in 2008. |Vancouver 2010|Athlete||||English, German|Motocross, wake boarding, mountain biking, travelling, meeting friends. |||
Marusa FERK|Alpine Skiing|Slovenia|Female|27 September 1988|25|1.67|65|Slovenia, JESENICE|-|Usi |Andrej Mozina [national], Rokom Brezavsckom [conditioning] ||Her 2012/13 season ended prematurely when she broke her ankle and damaged her knee during training in Lake Louise, AB, Canada. After five weeks of rehabilitation, she began training again. |Vancouver 2010|Athlete||||English, German, Slovene|Tennis, volleyball, hockey, spending time with friends. |||
Alexander FERLAZZO|Luge|Australia|Male|3 April 1995|18|1.85|75|Australia, TOWNSVILLE|-||Hannah Campbell-Pegg ||||Athlete, Student||||English|Longboarding, fishing, sport. |||
Ewen FERNANDEZ|Speed Skating|France|Male|17 February 1989|24|1.75|73|France, SAINT LO|-|The Ew, Ouin Ouin |Arnaud Gicquel [national] ||||||||English, French|Cycling, football, movies, watching sports on television. |||
Javier FERNANDEZ|Figure Skating|Spain|Male|15 April 1991|22|1.73|-|Spain, MADRID|-|Javi |Brian Orser, CAN; Tracy Wilson, CAN |||Vancouver 2010|Athlete, Student|Toronto Cricket Skating and Curling Club, Canada|||English, Spanish|Playing video games, spending time with friends, football, cycling, tennis. |||
Yonathan Jesus FERNANDEZ|Cross-Country|Chile|Male|14 April 1986|27|1.90|86|-|-||||||||||||||
Bjoern FERRY|Biathlon|Sweden|Male|1 August 1978|35|1.94|82|Sweden, STENSELE|-||Staffan Eklund [national] ||He required surgery on a small fracture in his foot. The problem had hampered him in 2007 and 2008, meaning he could not run while training. |Vancouver 2010, Torino 2006, Salt Lake City 2002|Athlete||||English, German, Swedish|Counting trees, measuring the height of trees. |||
Nicole FESSEL|Cross-Country|Germany|Female|19 March 1983|30|1.70|57|-|-|Nicci |||Illness forced her to miss the Tour de Ski during the 2010/11 season. |Vancouver 2010, Torino 2006|Customs Officer||||English, German|Reading, climbing, shopping. |||
Beat FEUZ|Alpine Skiing|Switzerland|Male|11 February 1987|26|1.72|85|Switzerland, GSTEIGWILER BE|-|Kobold, Fooz, Foiz. |Sepp Brunner ||He suffered an infection in his knee in 2012 that forced him to spend five weeks in the hospital and miss the entire 2012/13 season. He even considered retiring. However he started skiing again in August 2013. ||Athlete, Labourer||||German|Poker, tennis, hockey, table football. |||
Paulina FIALKOVA|Biathlon|Slovakia|Female|25 October 1992|21|1.64|55|Slovakia, BREZNO|-||Anna Murinova, SVK; Josef Obererlacher, AUT ||||Athlete, Student|||||Snowboarding, listening to music, dance, shopping, travelling. |||
Jens FILBRICH|Cross-Country|Germany|Male|13 March 1979|34|1.77|72|-|-|Fibs ||||Vancouver 2010, Torino 2006, Salt Lake City 2002|Serves in the Army||||English, German|Skiing, snowboarding, climbing, tennis, travelling, internet, books. |||
Peter FILL|Alpine Skiing|Italy|Male|12 November 1982|31|1.75|85|Italy, BRESSANONE|-||Rulfi Gianluca [national] |||Vancouver 2010, Torino 2006|Athlete||||English, German, Italian|Football, golf, motorbikes and mountain biking. |||
Quentin FILLON MAILLET|Biathlon|France|Male|16 August 1992|21|1.77|70|France, CHAMPAGNOLE|-||Stephane Bouthiaux [national], FRA; Siegfried Mazet [shooting] ||||Athlete||||French||||
Valtteri FILPPULA|Ice Hockey|Finland|Male|20 March 1984|29|1.82|84|Finland, VANTAA|-||||||||||||||
Viktoriya FILYUSHKINA|Speed Skating|Russian Fed.|Female|2 June 1985|28|1.64|63|-|Russian Fed., MOSCOW||Vladimir Rubin, Valery Muratov, Andrey Kudinov ||||||||||||
Liam FIRUS|Figure Skating|Canada|Male|2 July 1992|21|1.46|-|Canada, NORTH VANCOUVER|-||Lorna Bauer; Christy Krall, USA ||In 2013 he missed five months of action due to a pain in his pelvis, which was later diagnosed as osteitis pubis. After a course of injections, he fully recovered in October 2013. ||Athlete, Student|Vancouver Skating Club, Canada|||English|Swimming, going to the beach, cliff jumping. |||
Remo FISCHER|Cross-Country|Switzerland|Male|13 August 1981|32|1.73|68|Switzerland, BARETSWIL|-||Barti Manhart [national], SUI; Guri Hetland [national], NOR ||During the 2006/07 season he suffered from ankle, elbow and hamstring injuries. |Vancouver 2010, Torino 2006|Athlete||||German|Orienteering, skiing, cycling, cooking. |||
Thomas FISCHER|Freestyle Skiing|Germany|Male|7 February 1986|27|1.82|82|Germany, BAD REICHENHALL|-|Tommy |||He sustained an abductor tear at the 2013 World Championships in Voss, Norway. The injury stopped him competing for six months. ||||||German||||
Georg FISCHLER|Luge|-|Male|3 July 1985|28|1.73|74|-|-||Rene Friedl [national] ||||Army, Athlete|Army Sports Centre [HLSZ], Innsbruck, AUT|Back ||German|Mountain biking, road cycling, skiing, ski touring, hiking, spending time with friends. |||
Dominik FISCHNALLER|Luge|Italy|Male|20 February 1993|20|1.82|81|Italy, BRESSANONE|-|Domi |Milan Guba [National] ||||Athlete, Student||||English, German, Italian|Football, swimming. |||
Roland FISCHNALLER|Snowboard|Italy|Male|19 September 1980|33|1.86|83|Italy, BRESSANONE|Italy, S.Peter Villnoss|Fisch |Erich Pramsohler |||Vancouver 2010, Torino 2006, Salt Lake City 2002|Athlete|Centro Sportivo Esercito, Italy|Regular ||English, German, Italian|Climbing, cycling, ski touring. |||
Erik FISHER|Alpine Skiing|United States|Male|21 March 1985|28|1.83|107|United States, ONTARIO|-|Fish |Sasha Rearick [national] ||In February 2012 he aggravated a knee injury crashing into downhill nets in Sochi, Russia. Less than a month later he crashed again in Kvitfjell, Norway. He required surgery on his anterior cruciate ligament [ACL] and missed the 2012/13 World Cup season. ||Athlete, Business Owner||||English|Kiting, wakeboarding, ice hockey, road cycling, whitewater kayaking, cliff jumping, hunting, salmon fishing at his grandfather's house in Alaska, United States. |||
Alex FIVA|Freestyle Skiing|Switzerland|Male|29 January 1986|28|1.88|95|Switzerland, DAVOS|-||||||Athlete, Information Technology|||||American football, paragliding, biking. |||
Ludvig FJALLSTROM|Freestyle Skiing|Sweden|Male|15 April 1993|20|1.80|70|Sweden, ARE|Sweden, Are|Ludde |Tomas Carlqvist [national] |||||Are SLK, Sweden|||English|Music, girls. |||
Rok FLANDER|Snowboard|Slovenia|Male|26 June 1979|34|1.80|78|Slovenia, KRANJ|Slovenia, Drasocajna|Ciro, Flanderos |Tomaz Bernik ||His 2012/13 season ended early when he suffered from a hernia in March 2013. |Vancouver 2010, Torino 2006|Athlete, Student|SK Medvode, Slovenia|||English, Slovene|Motocross, tennis, kitesurfing, mountain bike downhill and surfing. |||
Ann Kristin Aafedt FLATLAND|Biathlon|Norway|Female|6 November 1982|31|-|-|Norway, OSLO|-||Egil Gjelland [national] |||Vancouver 2010|Athlete||||English, Norwegian|Hiking, hunting, fishing, knitting, playing guitar. |||
Caleb FLAXEY|Curling|Canada|Male|30 August 1983|30|1.75|-|Canada, SCARBOROUGH|-||||||||||||||
Bryan FLETCHER|Nordic Combined|United States|Male|27 June 1986|27|1.75|66|United States, STEAMBOAT SPRINGS|-|Fletch, Plan B |Dave Jarrett [national] ||In January 2010 he fell down some stairs while competing at a Continental Cup event in Germany. He was wearing his ski boots at the time and badly sprained his ankle. The injury ruled him out of selection for the 2010 Olympic Winter Games in Vancouver. ||Athlete, Construction Worker, Hospitality Professional||||English|Camping, kayaking, road biking, cooking. |||
